Summary,Description,Issue Type,Priority,Component/s,Status
mobile application ability choose month tab disappears trying chose previous mounth,steps reproduce open mobile application device tab open try choose expected result option previous month ability freely change month valid oneactual result months except disappeared option change date month,bug,Low,Bitbucket,Closed
automatic refresh file change working,version ui updating unless manual refresh f performed working fine installed tested auto refresh multiple computers workingwhile pressing f workaround annoying require keypress every time window comes focus option affect versions selection,bug,Low,UX,Closed
upload confluence broken,wow doesnt work,bug,Low,Beta,Needs Triage
focus lost dialog buttons,randomly sourcetree dialogs wont accept enter submit dialogs example start sourcetree press ctrlshiftf open fetch dialog press enter time always dialog wont get focus enter nothing old bug seen least months,bug,Low,UX,Needs Triage
sourcetree hangs pull fetch,worked last week started version morning reported problem noted newer version installed hope resolution problem upon pull fetch process shows activity never completes retried multiple times allowed run hour stopping,bug,Low,Bitbucket,Needs Triage
sourcetree crashes local git settings invalid,able reproduce submitted bug reports email address jasonpoggiolinextvotecommailtojasonpoggiolinextvotecomsourcetree crashing commit new repo without error dialog explanationusing different git client discovered git username email address defaulted usernamemachinename valid email address changed sourcetree stopped crashing committing filesnote version thats yet choice,bug,Low,Git,Needs Triage
update embedded downloading latest git windows release,updated sourcetree available versions list jirasourcetree tools options git git version update embeddedit downloads git rather newest release critical security vulnerabilities fixed recently git im told important update git,bug,Low,Git,Needs Triage
download application ukrzalznitsya,steps reproducedownload application device take offflip deviceexpected resultexpect bug,bug,Low,mac,Closed
app ios empty cart canceling payment,precondition least one available seat train future within days current date open app go page search enter route fields destination enter departure field date enter time field time press find trains button select route page train select traine price select available seat seats selection page press show seat button showup menu press order button next showup menu select ticket full enter personal data press cart order ticket page proceed cart page press pay button field sign enter email recieve tickets enter valid email select agree press continue button proceed payment method page press cancel buttonexpected result selected ticket tickets available cart pageactual result empty cart cart page pressed button cancel payment method page,bug,Low,General,Closed
app ios empty cart canceling payment,precondition least one available seat train future within days current date open app go page search enter search fields kiev talnoe enter departure field date january fri enter time field press find trains button select route page train select traine price select available seat seats selection page press show seat button showup menu press order button next showup menu select ticket full enter personal data press cart order ticket page proceed cart page press pay button field sign enter email recieve tickets enter valid email select agree press continue button proceed payment method page press cancel buttonexpected result selected ticket tickets available cart pageactual result empty cart cart page pressed button cancel payment method page,bug,Low,General,Closed
mercurial hg doesnt work anymore version,id cant find installation folder tried hg latest version imagepng,bug,Low,Mercurial,Needs Triage
app ios empty cart canceling payment,precondition least one available seat train future within days current date open app go page search enter search fields kiev talnoe enter departure field date january fri enter time field press find trains button select route page train select traine price select available seat seats selection page press show seat button showup menu press order button next showup menu select ticket full enter personal data press cart order ticket page proceed cart page press pay button field sign enter email recieve tickets enter valid email select agree press continue button proceed payment method page press cancel buttonexpected result selected ticket tickets available cart pageactual result empty cart cart page pressed button cancel payment method page precondition least one available seat train future within days current date,bug,Low,General,Closed
issue install process logging bitbucket account,first step installer offers log bitbucket server bitbucket accounti logged bitbucket account see next picture browserh confirm access accountsourcetree windows requesting access following read modify account information read modify repositories issues read modify workspaces project settings read transfer repositories within workspaces projects read modify repositories pull requests administer repositories read modify snippets read modify team membership information read modify repositories webhooks read modify repositories wikisby installing app agree privacy policy terms use provided sourcetree windows click grant access button page redirect browser says h site cant provide secure connectionlocalhost sent invalid response installer waiting login finish nothing happens afterwards sourcetreesetupexe installer windows pro n,bug,Low,Bitbucket,Closed
askpass error dialog xc keeps popping apps,sourcetree windows version affected version field doesnt within last week started getting askpass dialog intermittently popping apps sourcetree isnt used time usually minimized often happens bunches dialogs popping one time passes another bunch comes incredibly annoying background app interrupting work done foreground appimagepng,bug,Low,Askpass,Closed
feature cant closed gitflow,try close created feature finish feature dialog feature name initially loaded actual name feature finishes loading spinner right side dropdown disappear field goes blank open dropdown blank due behavior ok button disabledpd try finish feature ok button enabled feature closes correctlypd run windows sourcetree version version form field addecs versions choosed last version available list,bug,Low,Git,Needs Triage
sourcetree open,use lenovo laptop connected external monitors display adaptor intelr uhd graphics runs windows bit following update adaptor driver sourcetree open longeri uninstalled sourcetree reinstalled trying different version install creates shortcut entry add remove programswhen disable display adaptor use laptop screen sourcetree install run expected soon reenable display adaptor sourcetree start tried many different things run admin roll back recent windows updates unable rollback driver causing problem install basic standard driver,bug,Low,General,Needs Triage
set font font size submitted text box chinese fonts look uncomfortable,imagepng,bug,Low,Stash,Needs Triage
application slows eventually crashes shut couple days,running app several days im done work usually hibernate machine several days writing commit messages really sticky letters appearing half second typed also branching checking bit stickier usuali tried restarting app showed immediate improvement using day came outcome described abovei sent crashreport minutes ago might able connect case version actually says affects versionimagepng,bug,Low,General,Needs Triage
custom actions working set parameter multiple,firstly made custom action one parameter set parameter field file used right click one file one commit choose custom action custom action made earlier displayed usualsecondly made custom action multiple parameters set parameter field sha file used right click one file one commit choose custom action custom action made earlier displayedfor comparison things sourcetree mac showed windows bug,bug,Low,General,Closed
terminal button menu fails open git bash,sourcetree version git embedded windows pro use git bash option selected terminal button work unselected cmd prompt window opened correctly seems pathing issue terminal button git bash executable,bug,Low,Git,Closed
commit text links reset opening sourcetree,sourcetree version configure commit text link close sourcetree see correct configuration gitsourcetreeconfigjsonif reopen sourcetree see configured commit text link deletedjust reopening sourcetree file gitsourcetreeconfigjson already overwritten deleted configurationremark field affects versions required version available added existing wrong version field version,bug,Low,General,Closed
sourcetree crashes using url action,appears whenever click link bitbucket something sourcetree whether checking branch cloning repository url action window sourcetree cause sourcetree crash happens whatever button press url action dialog including cancelthis happens sourcetree although version isnt available affects version picked latest version,bug,Low,Bitbucket,Needs Triage
sourcetree often converts repository remote bitbucket generic,ive found semiregular basis sourcetree converted remote repository generic host bitbucket usually tell initially remote icon top right red state also cannot create pull request branch seemed start happening update isnt included versions list picked latest version,bug,Low,Bitbucket,Needs Triage
sourcetree forgets bitbucket authentication,day sourctree forgets credentials bitbucket fails push fetchif open options authentication bitbucket account editthe authentication check startsand says ok push fetch without editing something sourcetree version couldnt select th affects versions field,bug,Low,Bitbucket,Needs Triage
sourcetree install registration windows advance next screen,sourcetree version install registration windows advance next screen installing windows desktop trying open sourcetree software next button stays disabled even log atlassian cloud account grant access tried various things ie changing browser ie chrome firefox also registering new account nothing works,bug,Low,Bitbucket,Needs Triage
unable push github org account sourcetree,currently sourcetree version unable push organisation github repo keep getting authentication failed message currently using gitkarken get around dont know whats wrong sourcetree setup two factor authentication correctly done many timesimagepng,bug,Low,Git,Needs Triage
unable update source tree version,currently sourcetree version updates shown options window try update message displayed invalid release entry bcbcaafefaebcbe sourcetreefullnupkg,bug,Low,General,Closed
permanently loosing repository configuration,latest update permanently loossing following remote account repository configurationimagepng restarting sourcetree configuration emptyimagepng sourcetree version,bug,Low,Bitbucket,Needs Triage
sourcetree installer fails windows signing certificate expired corporate policy requires valid certificate,per title corporate group policy requires valid certificate therefore sourcetree stopped working certificate expired downloaded installer see updated since appears,bug,Low,General,Closed
empty local branch name pushing new branch,disclaimer cant select version creating issue please move right place ablewhen pushing new local branches remote using push button multiclick checkbox else errornoformatthe remote branch local branch mybranch invalid ref names must follow git refformat rules errors see abovenoformat version sourcetree october help release notessee demo gif,bug,Low,branch,Needs Triage
error using check version functionality optons menu,receiving following error checking updates options tab options menu invalid release entry bcbcaafefaebcbe sourcetreefullnupkg imagepng,bug,Low,General,Needs Triage
unable use sourcetree upload local programming bitbucket,trying use sourcetree upload local r scripts bitbucket version control use stage selected choose local r scripts push upload clicking commit button always gives error please check attached picture thatimagepng,bug,Low,Bitbucket,Needs Triage
remote account type reverting unknown,every time sourcetree app restarts remote accounts gitlab ce revert genericthe remote button icon cannot push pull reset account proper type imagepng,bug,Low,remote,Needs Triage
application isnt showing changes dark mode,hellothe ui isnt showing changes example press stage stage selected doesnt update doesnt update commit button colleagues work fine arent dark mode constantly close reopen program commit button activated annoyingim version ive put wrong version ticket isnt one open imagepng,bug,Low,General,Closed
code signing timestamp missing sourcetree v,sourcetree v missing code signing timestamp certificate expired imagepngapplication cannot whitelisted applocker via publisher certificate,bug,Low,General,Needs Triage
load one core typing commit message,typing commit message sourcetree stutters processor load goes use dual core hyperthreading guess means load one core drops zero stop typingits happing multiple versions windows sourcetree,bug,Low,General,Closed
sourcetree installation,helloi try install sourcetree computer windows ive got errorimagepng,bug,Low,Bitbucket,Closed
push dialog empty,pressing push button branches push emptyimagepngwidthheightproblem occurs using config file git folder argumentcodejavapush refsheadsrefsforcodeentire config filercodejavacore bare false repositoryformatversion filemode false symlinks false ignorecase true logallrefupdates true autocrlf trueremote origin url fetch refsheadsrefsremotesorigin push refsheadsrefsforbranch master remote origin merge refsheadsmastercode,bug,Low,Git,Needs Triage
provide reauthentication window push return access denied,issue happened open repo clone button password changes sourcetree fail push connect remote repo anymore noway change saved password create batch file open sourcetree config files remove password manually,bug,Low,General,Needs Triage
cannot select multiple branches,branches list allow one branch selected doesnt support selection shift ctrl makes branches deletion process almost impossible delete branches use sourcetree time run smartgit clean repository smartgit select multiple branchesmenu branches delete supposed help multiple branches deletion doesnt allow select multiple branches doesnt support shift andor space check branches checkboxes using smartgit still faster,bug,Low,General,Needs Triage
crash attempting initiate gitlabee pull request,get crash whenever attempting initiate pull request im rtclicking branch selecting create pull requestthe log consistently displays followingerror sourcetreeanalyticscrashbugsplatcrashanalyticsservice log dispatcherunhandledexceptionhandler sourcetree called systemwindowsthreadingdispatcher systemwindowsthreadingdispatcherunhandledexceptioneventargssystemuriformatexception invalid uri format uri could determined systemuricreatethisstring uri boolean dontescape urikind urikind sourcetreehostgitlababstractgitlabhostgetpullrequesturistring baseurl string reposlug string ownerorproject string remotebranch string commitsha sourcetreehostgitlababstractgitlabhostgetpullrequesturistring baseurl string remoteurl string remotebranch string commitsha sourcetreemodelrepositorycreatepullrequeststring remote string remotebranch string commitsha sourcetreeviewmodelrepotabviewmodelcreatepullrequestnopromptstring remote string remotebranch sourcetreeviewmodelrepotabviewmodelcreatepullrequestnopromptifnotaheadstring localbranch string remote string remotebranch msinternalcommandscommandhelperscriticalexecutecommandsourceicommandsource commandsource boolean userinitiated systemwindowscontrolsmenuiteminvokeclickafterrenderobject arg systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandlerive tried using ssh resolve remote difference behaviorim guessing may related,bug,Low,General,Needs Triage
endless loading x commits reach commit filter,set filter show remote branches branch filter current branchthen try jump specific revision visible due filter sourcetree starts loading commits never end loadit yield error message telling us commit visible due filters instead,bug,Low,Git,Needs Triage
auto refresh doesnt work files changing version,auto refresh doesnt work files changing removed addedgit version windowssourcetree windows updated integrated updaterimagepngwidthheightimagepngwidthheightimagepngwidthheightimagepngwidthheight,bug,Low,General,Closed
cannot open local repo repo submodule open another tab,sourcetree may allow user open local repository instead select another tab already open happens repo also submodule another repo submodule already open another tab steps reproducegit repository cloned cgitrootagit repository b cloned cgitrootbrepo b also submodule copy also exists cgitrootabopen repo submodules section repo doubleclick repo b open another tabclick right tabs local repositories doubleclick repository b ie clone cgitrootba new tab open repo b however repo b submodule tab selected insteadthis fairly new bug sourcetree affects version colorffbdadcolorbd available jira affected versions fieldcolorcolor,bug,Low,General,Needs Triage
click menu item copy path clipboard app hangs several seconds,commits history files list window file selecting invoking context menu item copy path clipboard app hangs seconds copy line code file diff view paste another app sourcetree hangs seconds,bug,Low,General,Needs Triage
trustedtester bug ui,set defoult user settings autondification text shiftedsource tree version beta,bug,Low,UX,Needs Triage
commit text links lost closing reopening app,setting commit links git repo jira works ok settings lost closing restarting appusing beta,bug,Low,Git,Closed
application crash using checkout sourcetree bitbucket server,selecting option checkout sourcetree bitbucket server dialog prompting checkout bookmarked repository existing matching repository available additionally dialog closes clicking cancel cloning new directory application crashesthe issue may related srctreewin since issue reports losing information configuration relating properties remote repositoryactual version ios however latest version available affects versions list,bug,Low,General,Closed
selecting train direction black rectangle confirming empty field destination search,steps reproduce open apllication click field separate page direction selection opened without entering info field click confirmation button keybord current example button text cursor diasppers field type symbols press line break buttonexpected result text cursor dissappears field stays active untill user types info actual result text cursor dissappears screen appears black rectangle typed characters line breaks appear inserted search fieldtested android device huawei novaimagepngwidthheight imagepngwidthheight imagepngwidthheight,bug,Low,branch,Closed
sourcetree showing bitbucket repositories,browse repositories bitbucket server within sourcetree empty tells set remote account show repository,bug,Low,Bitbucket,Needs Triage
bug found sourcetree,originally could create branch due errors sourcetree first thought made mistake checking gitignore readmemd found sourcetree consistent enabling create branch throughly testing reinstalling sourcetree removing readmemd git folder confirmed sourcetree totally stable consistent theres guarantee im able create branch suddenly work even commands git used please reply show error message longer reproduced,bug,Low,branch,Needs Triage
lack go back button return tickets form,steps reproduce open mobile application railway tickets go return ticketexpected resultthere possibility go back main menuactual resultan option go back main menu doesnt exist environmentios version iphone,bug,Low,Beta,Closed
branches current branch dropdown doesnt remember choice,previous versions selected current branch closedreopened sourcetree would still current branch selected one recent updates feature broke branches selected default every time sourcetree launches using version doesnt appear affects versions selection picked highest number could find,bug,Low,UX,Closed
always update repository github address launch sourcetree,updated sourcetree version got issues always set repository address github site pull request remote origin although repository address dont changes attached related photos bug report sourcetree window remote icon always show red exclamation mark click still working okay checkout originmaster branch local branch track remote branch option checked cant push origin branch name dont item branches pushes,bug,Low,Git,Needs Triage
,notice undefined variable resvlaggr homeadminwebnibuloncompublichtmlapplicationmodelsmodelcalculatordiscountphp line notice undefined variable ressorpr homeadminwebnibuloncompublichtmlapplicationmodelsmodelcalculatordiscountphp line notice undefined variable ressorgr homeadminwebnibuloncompublichtmlapplicationmodelsmodelcalculatordiscountphp line,bug,Low,Beta,Closed
,steps repoduce,bug,Low,Beta,Closed
,,bug,Low,Beta,Closed
taskbar accessible sourcetree full screen,taskbar accessible sourcetree full screennote taskbar set hide desktop modeexpected result hovering mouse screen allow user access taskbar,bug,Low,General,Needs Triage
remote host root url saved displays error,update sourcetree repositories display error remote buttonadding host root url works restartrestart deletes everything,bug,Low,remote,Needs Triage
text cursor disappears commit message text area,hi text cursor disappears commit message text area see imageim using version isnt listed affects version fieldimagepng,bug,Low,General,Needs Triage
ver push new branch unless checkuncheckcheck branch get remote name filled,regardless pushing bitbucket tfs issuethe problem new branch remote branch default empty get filled use dropdown menu list remote branchesso typical scenario create new branch try push current new branch default checked even check push window click push stage get errorcodejavathe remote branch local branch e invalid ref names must follow git refformat rules errors see abovecodenow uncheckcheck new branch push window remote branch name get filled name new branch push go throughthis peculiar behavior couple versions back think ok,bug,Low,Bitbucket,Needs Triage
wtf display branches,imagepng,bug,Low,Git,Closed
test,test,bug,Low,branch,Closed
able login ie version idatlassiancom,go idatlassiancom try login ie use usernamepassword doesnt loginsame flow tried chrome successfully logs inproblem sourcetree also uses ie able login sourcetreeimagepngimagepng,bug,Low,General,Needs Triage
unable add azure devops remote account using sourcetree,latest source tree windows try add azure devops organization remote account getting following authentication failed object reference set instance objecterror used username pat needed scope access appreciate help resolve following steps performed creating pat azure devops full access following instructions url stepclick remote tab add accountfilecusersappdatalocaltempmsohtmlclipclipimagepngwidthheight stepenter select following valueshosting service azure devopshost url protocol personal access tokenthen clicked refresh personal access token button filecusersappdatalocaltempmsohtmlclipclipimagepngwidthheightstepentered username pat passwordfilecusersappdatalocaltempmsohtmlclipclipimagepngwidthheight returned following authentication failed error filecusersappdatalocaltempmsohtmlclipclipimagepngwidthheightplease help resolving issue,bug,Highest,General,Closed
ram help git credential manager windows,takes hour use gigs ramin task manager gitcredentialmanagerforwindows culprit happens sourcetree openedversion,bug,Low,Git,Needs Triage
remote account reset every restart,work several repositories bitbucket server checked employee accounteverything works fine every time restart sourcetree get exclamation mark remote buttonimagepngif look repository settings see switched generic account rather remote accountif select account exclamation mark disappear next restart get issue version affected cant find version list selected latest available,bug,Low,remote,Closed
error message creating pull request v,since upgrading sourcetree getting error message trying create pull requestimagepngalso remote button located top right sourcetree window showing red exclamation mark button clicked another error message shown unable open web browser remote url default web browser setgoing setting suggested first error selecting remote clicking edit without changing anything clicking ok close window ok close repository settings window fixes error pull requests created temporarily sourcetree closedthe next session sourcetree still show error creating pull request note error happens version version creating issue typing affects versions edit box get error saying version doesnt exist theres community question related,bug,Low,General,Closed
git found error,using system git version windows sourcetree v stuck popup dialog window indicating git found,bug,Low,Git,Needs Triage
upgrade sourcetree possible proxy configured available,registrationdialog upgrade sourcetree proceed proxy configured available happen easily normally work behind proxy execute upgrade network proxy availablecurrently manually seach sourcetree userconfig files system remove proxy settings registration succeedsthe log contains following errorcodetitlesourcetreelogerror sourcetreeuionboardingmanager log unable submit finished registration analyticssystemaggregateexception one errors occurred systemnet error occurred sending request systemnetwebexception remote name could resolved proxyorg systemnet asyncresult transportcontext context systemnet ar end inner exception stack trace systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemnet end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task refitrequestbuilderimplementationcdisplayclassbuildcancellabletaskfuncformethodbdmovenext end inner exception stack trace systemthreadingtaskstaskgetresultcoreboolean waitcompletionnotification sourcetreemausubmissiongasgasmausubmissionservicesubmitgasevent useractivityevent sourcetreemausubmissiongasgasmausubmissionserviceforcesubmission sourcetreeanalyticsanalyticsdatamanagerforcesubmission sourcetreeuionboardingmanagersubmitfinishedregistrationanalyticsboolean onboardingresult inner exception systemnet error occurred sending request systemnetwebexception remote name could resolved proxyorg systemnet asyncresult transportcontext context systemnet ar end inner exception stack trace systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemnet end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task refitrequestbuilderimplementationcdisplayclassbuildcancellabletaskfuncformethodbdmovenextcode happened upgrade cannot select correct affects version,bug,Low,General,Needs Triage
couldnt push gitflow generated branches,updated version sourcetree may show warning tried push branch inside ex releasev generated gitflow cant push commit finish branch successfully,bug,Low,Git,Needs Triage
custom actions submenu missing context menu sourcetree,sourcetree submenu custom actions gone missing rightclick context menu rightclicking modified file file status view brings context menu expected custom action items present expected submenu individual custom actions missingthe submenu appears expected custom actions chosen actions pad main menu custom actions chosen rightclick menuwindows pro bit,bug,Low,General,Closed
wrong translation,updating sourcetree remote icon shows exlamation mark clicking show message sie bentigen eine neue app zum ffnen von sshthe computer uses german language sourcetree set english would expect error messages englishunfortunately cannot select proper version affects versions combo box even see sourcetree,bug,Low,General,Closed
finish hotfix didnt merge develop,finished hotfix merge completed master develop even though finish hotfix window showed end result merge bothversion windows,bug,Low,Git,Needs Triage
able check remote branch pipe vertical line character,h issue descriptionive got coworkers working different git tools work sourcetreesourcetree case unable open remote branch pipe sign branch namefeaturemxtsbeforedevmergethe checkout button enable small message red text invalid remote branch appearsh expected behaviourid expect sourcetree allow pipe character branch names sourcetree work remote git branches named git softwareh additional informationworking macbook pro macos catalina version source tree version cant select one affects verions create issue wizard,bug,Low,branch,Needs Triage
select branch git push,select brance git push,bug,Low,branch,Closed
select brance git submit,imagepng imagepng,bug,Low,branch,Closed
ui completely unusable due delays rendering code,lastest version sourcetree suffers huge rendering stalls make unusable attaching mixedmode debugger breaking execution stall yields following stack trace windowscodecsextdllcicmcolortransforminitialize unknown windowscodecsextdlliwiccolortransforminitializeproxy unknown presentationcorenidllfffdcefd unknown managed native transition presentationcoredllsystemwindowsmediaimagingcolorconvertedbitmapfinalizecreation unknown presentationcoredllsystemwindowsmediaimagingbitmapsourcecreatecachedbitmapsystemwindowsmediaimagingbitmapframe frame systemwindowsmediaimagingbitmapsourcesafemilhandle wicsource systemwindowsmediaimagingbitmapcreateoptions createoptions systemwindowsmediaimagingbitmapcacheoption cacheoption systemwindowsmediaimagingbitmappalette palette unknown presentationcoredllsystemwindowsmediaimagingbitmapframedecodefinalizecreation unknown presentationcoredllsystemwindowsmediaimagingbitmapsourcecompletedelayedcreation unknown presentationcoredllsystemwindowsmediaimagingbitmapsourcewicsourcehandleget unknown presentationcoredllsystemwindowsmediaimagingbitmapsourceducecompatibleptrget unknown presentationcoredllsystemwindowsmediaimagingbitmapsourceupdatebitmapsourceresourcesystemwindowsmediacompositionducechannel channel bool skiponchannelcheck unknown presentationcoredllsystemwindowsmediaimagingbitmapsourceaddrefonchannelcoresystemwindowsmediacompositionducechannel channel unknown presentationcoredllsystemwindowsmediaimagingbitmapsourcesystemwindowsmediacompositionduceiresourceaddrefonchannelsystemwindowsmediacompositionducechannel channel unknown presentationcoredllsystemwindowsmediarenderdatasystemwindowsmediacompositionduceiresourceaddrefonchannelsystemwindowsmediacompositionducechannel channel unknown presentationcoredllsystemwindowsuielementrendercontentsystemwindowsmediarendercontext ctx bool isonchannel unknown presentationcoredllsystemwindowsmediavisualrenderrecursivesystemwindowsmediarendercontext ctx unknown presentationcoredllsystemwindowsmediavisualupdatechildrensystemwindowsmediarendercontext ctx systemwindowsmediacompositionduceresourcehandle handle unknown control rendered sourcetreeuithemewpfcontrolsthemeimage bitmap rendered uri packapplicationsourcetreeuithemewpfcomponenticonsfilestatusdarkmodifiedtiffi dont know anything wpf cannot tell wpf bug call systemwindowsmediaimagingbitmapsourcecreatecachedbitmap happens many times many ui operations sourcetree every call costs sec really adds especially ui thread unresponsive time,bug,Low,UX,Closed
launching second instance sourcetree crashes,version entry dropdownos windows server rproblem signature problem event name appcrash application name sourcetreeexe application version application timestamp dbc fault module name kernelbasedll fault module version fault module timestamp dbe exception code c exception offset c os version locale id additional information ae additional information aebaddcbcefebeeafe additional information ff additional information ffefbfbfcaeaac,bug,Low,General,Needs Triage
cant use sourcetree space user name,im using latest version source tree however cant git actions interact remote fails following messagecodejavagit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks c credentialhelper c credentialhelperdusersetienne bpepinappdatalocalatlassiansourcetreegitextrasgitcredentialmanagerexe fetch prune origindusersetienne bpepinappdatalocalatlassiansourcetreegitextrasgitcredentialmanagerexe get dusersetienne file directorycodeconsidering outputs dusersetienne file directory seems fail space user namei already seen ticket flags issue doesnt seem fixed,bug,Low,Git,Needs Triage
remote connection working,verified get bitbucketorg repository still exists remote icon click correct url comes spins doesnt show anything click go profile works asked upgrade isnt working,bug,Low,Bitbucket,Closed
default web browser recognized source tree,imagepng action would send user web browser doesnt work example create pull request windows default correctly set options sourcetree applicable,bug,Low,General,Needs Triage
bug splat commit,hello atlassian names lucas recently ive downloaded sourcetree work university group make game download project pc cant commit back try commit sourcetree stop work send mensage bug splat closes fix,bug,Low,Bitbucket,Closed
commit file want push disappears,commit file want push disappears use git push branch push button work without file pushafter push file using git viewrefresh update status file pushed close sourcetree reopen confirm updated statusalso sourcetree slow especially pull requeststhis version entered affects versions drop entered affects versions drop option,bug,Low,branch,Closed
version breaking dark mode switching,sourcetree comes following changesquotechangesmacos dark modechoose automatic light dark clickreplaces previous custom atlassian dark themequotewith due respect two changes brokenprevious atlassian dark theme better sense better colour contrastimagepngwidthheightin attached screenshot see transparency sidebar doesnt play well number commits aheadbehind also cannot switch lightdark theme darkps sourcetree major release october part affects version list,bug,Low,UX,Closed
sourcetree crashes update,install start latest version sourcetree program crashes start install old version otherwise sourcetree usable problem months last working version crash comes error message report option use unfortunately improvement new updatesthe latest version tried install latest version git installed,bug,Low,Bitbucket,Closed
push form committing master repository,happening windows version didnt check mac etcsourcetree v release downloaded website checkout originmaster local master branch checkout forkmaster masterfork branch fork forked master make change fork master commit pushsourcetree create masterfork branch origin instead pushing changes forkmaster repo,bug,Low,Bitbucket,Needs Triage
valid source path url,good morningfollowing steps configure clone repository ssh always gives following errorcommand git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks lsremote gitbitbucketorgsiscardvulcanoperugitoutput error fatal error network error connection refusedfatal could read remote repositoryplease make sure correct access rightsand repository exists,bug,Low,Bitbucket,Closed
sourcetree login installing window loading ever,hii trying install sourcetree window failing tried archived versions latest one luck attaching log file ease,bug,High,na,Closed
remotes longer refreshing automatically,since applying latest beta beta remotes longer refreshed automatically update manually perform operation eg press fetch toolbari following options setoptionsgeneral check default remotes updates every minutesrepository settingsremotesremote details default remoterepository settingsadvanced automatically refreshrepository settingsadvanced refresh remote status background,bug,Low,Git,Closed
push branches option update saved,sourcetree windows running windows windows running vm parallels desktop macos sourcetree windows tools options gitpush branches option set matchingchange push branches option value upstreamclick okreopen options dialog tools options gitthe push branches option still set matching instead upstream fail,bug,Low,Git,Closed
branches tags remotes hard read highcontrast mode,run windows high contrast mode dark window background renders text branches tree black grey background hard read unselected tags remotes rendered grey grey background making impossible read,bug,Low,General,Closed
sourcetree captcha error,im trying pull code bitbucket using sourcetree keep getting authentication error ive spent hours troubleshooting anything could find community forums still found solution errorgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks fetch origingit credentialosxkeychain git command see git helpfatal remote error captcha requiredyour bitbucket account locked unlock log mustsolve captcha typically caused many attempts login anincorrect password account lock prevents scm client accessingbitbucket mirrors solved even enter passwordcorrectly,bug,Low,Bitbucket,Closed
incorrect functionality mail option,preconditions gmail app installed device set default email app devicesteps reproducecase open app ios go tab click emailnote tested device iphone ios case open app android go tab click email note tested device oneplus android expected result case redirection default device email app done actual result case redirect option openedcase default share option opened,bug,Low,General,Closed
non swipeable tabs app option ios version,steps reproduce open app go tab swipe inner tabs option leftrightnote android version actual bug reproducible inner tabs swipeable leftright tested devices iphone ios oneplus android expected result inner tabs swipeable leftrightactual result inner tabs swipeable leftright,bug,Low,General,Closed
incorrect functionality mail option,steps reproducecase open app ios go tab click emailcase open app android go tab click email expected result case redirection default device email app done actual result case redirect option openedcase default share option opened,bug,Low,General,Closed
non swipeable tabs app option ios version,steps reproduce open app go tab swipe inner tabs option leftrightnote android version actual bug reproducible inner tabs swipeable leftrightexpected result inner tabs swipeable leftrightactual result inner tabs swipeable leftright,bug,Low,General,Closed
unreadable text high contrast mode,run windows high contrast mode dark window background renders text branches tree black grey background hard read unselected tags remotes rendered grey grey background making impossible readhigh contrast settingsimagepngsourcetree select guiimagepng,bug,Low,General,Closed
history search almost worthless,version search function stops working whilerepo steps type part known file name see results use backspace key delete previous search repeat step times search stops working actually appears search stops working soon results returns back nothing close search box change commits times search box starts working,bug,Low,Git,Closed
cant access bitbucket using sourcetree,getting constant login prompts still cant access repositories incorrect name password message login via browser using tools like gitext even using gitext prompts enter password times real painplease help,bug,Low,Bitbucket,Closed
special unicode character filename,migrated mercurial several web url filenames special unicode characters like issue however files checkedout unicode character appended unicode character thuscodejavacodeis convert tocodejavacodethus files looks renamed fact havent issue trying stage files using sourcetree get following errorcodejavagitc diffmnemonicprefixfalse c corequotepathfalse nooptionallocks rm q f thinktectureidentitymanagerhome identitymanageridentitymanager wikiurlfatal pathspec thinktectureidentitymanagerhome identitymanageridentitymanager wikiurl match filescompleted errors see abovecodehowever stage use git bash sourcetrees git version set system libgitsharp gealibgitaecb gitlfs vpath cprogram filesgitcmdgitexe,bug,Low,Git,Closed
tanks fire function working standing left bottom corner,steps reproduce open accept flash player using push push enter player move tank left bottom corner use keyboard arrows push space fireexpected result tank firingactual result tank firing,bug,Low,Beta,Closed
numbers tabs nothing pull commitpush,,bug,Low,General,Closed
sourcetree current version shows number tabs without reason,bug description best regardsjan,bug,Low,General,Closed
refresh automatically file changes refresh application focus doesnt work,refresh automatically file changes refresh application focus doesnt work theres way get file changes displayed exept hitting f key h youre affects versions outdated cannot leave blankh dont know components isare,bug,Low,UX,Closed
push select baranches,branches select version,bug,Low,Git,Closed
captcha error,try fetch appearing error message captcha go website log log back said message go support page reset captcha error still solve,bug,Low,General,Closed
